cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
17484894,419,ENG - Sanitary Landfill (Trench),3,37191,"Clay Content 25 to 180cm, Weighted Average",1,0,Not clay textured,0.033,Too clayey,0.033,Too clayey,0.559,Too clayey,0,0,0,1555061159
17484894,208,ENG - Septic Tank Absorption Fields,0,208,ENG - Septic Tank Absorption Fields,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1555061160
17484894,208,ENG - Septic Tank Absorption Fields,1,231,"Wet, Ground Water Near the Surface (120 - 180cm)",1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1555061161
17484894,208,ENG - Septic Tank Absorption Fields,2,233,"Percolation 60 - 180cm (24-72"")",1,1,Slow water movement,1,Slow water movement,1,Slow water movement,1,Slow water movement,0,0,0,1555061162
17484894,430,ENG - Sewage Lagoons,0,430,ENG - Sewage Lagoons,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1555061163
17484894,430,ENG - Sewage Lagoons,1,428,"Wet, Ground Water Near the Surface (105 - 150cm)",1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1555061164
17484894,302,ENG - Shallow Excavations,0,302,ENG - Shallow Excavations,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1555061165
17484894,302,ENG - Shallow Excavations,1,304,"Wet, Ground Water Near the Surface (75 - 180cm)",1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1555061166
17484894,302,ENG - Shallow Excavations,2,23660,Dust PM10 and PM2.5 Generation,1,0.111,Dusty,0.111,Dusty,0.111,Dusty,0.111,Dusty,0,0,0,1555061167
17484894,302,ENG - Shallow Excavations,3,23768,"Unstable Excavation Walls, revised",1,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0,0,0,1555061168
17484894,395,ENG - Small Commercial Buildings,0,395,ENG - Small Commercial Buildings,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1555061169
17484894,395,ENG - Small Commercial Buildings,1,343,"Wet, Ground Water Near the Surface (45 -75cm)",1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1555061170
17484894,395,ENG - Small Commercial Buildings,2,23803,Shrink-Swell (LEP WTD_AVG 25-100cm or Bedrock),1,0.651,Shrink-swell,0.651,Shrink-swell,0.651,Shrink-swell,0.651,Shrink-swell,0,0,0,1555061171
17484894,23656,ENG - Unpaved Local Roads and Streets,0,23656,ENG - Unpaved Local Roads and Streets,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1555061172
17484894,23656,ENG - Unpaved Local Roads and Streets,1,401,"Wet, Ground Water Near the Surface (30 - 75cm)",1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1555061173
17484894,23656,ENG - Unpaved Local Roads and Streets,2,399,Potential Frost Action > Low,1,1,Frost action,1,Frost action,1,Frost action,1,Frost action,0,0,0,1555061174
17484894,23656,ENG - Unpaved Local Roads and Streets,3,400,"Strength (AASHTO Group Index Thickest Layer 10 to 40"")",1,1,Low strength,1,Low strength,1,Low strength,1,Low strength,0,0,0,1555061175
17484894,23656,ENG - Unpaved Local Roads and Streets,4,23803,Shrink-Swell (LEP WTD_AVG 25-100cm or Bedrock),1,0.651,Shrink-swell,0.651,Shrink-swell,0.651,Shrink-swell,0.651,Shrink-swell,0,0,0,1555061176
17484894,23656,ENG - Unpaved Local Roads and Streets,5,23660,Dust PM10 and PM2.5 Generation,1,0.111,Dusty,0.111,Dusty,0.111,Dusty,0.111,Dusty,0,0,0,1555061177
17484894,57992,Farm and Garden Composting Facility - Surface,0,57992,Farm and Garden Composting Facility - Surface,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1555061178
17484894,57992,Farm and Garden Composting Facility - Surface,1,57993,Depth to Saturation (50-100cm),1,1,Wetness,1,Wetness,1,Wetness,1,Wetness,0,0,0,1555061179
